Variable,Frequency_Index,Period_Days,Power_Spectral_Density,Log10_Period_Days,Log10_Power
CAPE,191,81.80208333,581724376.3,1.912764364,8.764717263
CAPE,192,81.37823834,136614860.8,1.910508284,8.135497944
CAPE,193,80.95876289,283479024.3,1.908263863,8.452520929
CAPE,194,80.54358974,117243377.6,1.906030982,8.069088321
CAPE,195,80.13265306,98928793.35,1.903809522,7.995322712
CAPE,196,79.72588832,386838441.9,1.901599367,8.587529625
CAPE,197,79.32323232,186212745,1.899400403,8.270009402
CAPE,198,78.92462312,229780242.2,1.897212517,8.361312683
CAPE,199,78.53,648675447.1,1.895035597,8.81202746
CAPE,200,78.13930348,1047842230,1.892869536,9.020295897
CAPE,201,77.75247525,323233253.4,1.890714224,8.509516034
CAPE,202,77.36945813,16008435.81,1.888569555,7.204348899
CAPE,203,76.99019608,240894573.4,1.886435426,8.381827017
CAPE,204,76.61463415,297238390.1,1.884311732,8.4731049
CAPE,205,76.24271845,256616562.5,1.882198373,8.409284683
CAPE,206,75.87439614,52424951.35,1.880095248,7.719538036
CAPE,207,75.50961538,116148586.8,1.878002258,8.06501393
CAPE,208,75.14832536,326133364.5,1.875919307,8.513395231
CAPE,209,74.79047619,210632533.7,1.873846298,8.323525452
CAPE,210,74.43601896,215211840.9,1.871783138,8.332866162
CAPE,211,74.08490566,117531509.2,1.869729732,8.070154313
CAPE,212,73.7370892,150464897.4,1.86768599,8.177435193
CAPE,213,73.39252336,101857573.7,1.86565182,8.007993327
CAPE,214,73.05116279,555069565.1,1.863627133,8.744347415
CAPE,215,72.71296296,226539101.2,1.861611842,8.355143173
CAPE,216,72.37788018,10510514.99,1.859605859,7.021623996
CAPE,217,72.04587156,69544590.94,1.8576091,7.842263357
CAPE,218,71.71689498,103779923.8,1.855621478,8.016113348
CAPE,219,71.39090909,106183919.4,1.853642912,8.026058752
CAPE,220,71.0678733,82910682.07,1.851673319,7.918610488
CAPE,221,70.74774775,80954894.66,1.849712619,7.908243112
CAPE,222,70.43049327,26810399.76,1.84776073,7.42830329
CAPE,223,70.11607143,17106233.3,1.845817575,7.233154391
CAPE,224,69.80444444,64314361.46,1.843883075,7.808307962
CAPE,225,69.49557522,224272425.5,1.841957154,8.35077588
CAPE,226,69.18942731,288871585.4,1.840039736,8.460704825
CAPE,227,68.88596491,250019363.8,1.838130746,8.397973646
CAPE,228,68.58515284,152803318.3,1.836230111,8.184132785
CAPE,229,68.28695652,84546525,1.834337757,7.927095762
CAPE,230,67.99134199,37555667.01,1.832453613,7.57467548
CAPE,231,67.69827586,76486188.15,1.830577608,7.883583017
CAPE,232,67.40772532,132462385.1,1.828709672,8.122092571
CAPE,233,67.11965812,112193204.7,1.826849736,8.049966553
CAPE,234,66.83404255,156156224.4,1.824997731,8.1935593
CAPE,235,66.55084746,55667140.63,1.82315359,7.745598914
CAPE,236,66.27004219,72596010.75,1.821317247,7.860912756
CAPE,237,65.99159664,121778996.9,1.819488636,8.085572392
CAPE,238,65.71548117,96961581.21,1.817667692,7.986599689
CAPE,239,65.44166667,361850133.5,1.815854351,8.558528737
CAPE,240,65.17012448,409901224.9,1.814048551,8.612679216
CAPE,241,64.90082645,52078350.04,1.812250227,7.716657216
CAPE,242,64.63374486,573146506.7,1.81045932,8.75826565
CAPE,243,64.36885246,277726119.1,1.808675767,8.443616725
CAPE,244,64.10612245,193924772.8,1.806899509,8.287633291
CAPE,245,63.84552846,891988449,1.805130486,8.95035923
CAPE,246,63.58704453,762531697,1.80336864,8.882257901
CAPE,247,63.33064516,224766779,1.801613912,8.351732122
CAPE,248,63.07630522,12087609.13,1.799866246,7.082340408
CAPE,249,62.824,425436071.6,1.798125584,8.62883431
CAPE,250,62.57370518,231776059.4,1.796391872,8.365068575
CAPE,251,62.32539683,13400470.89,1.794665052,7.12712006
CAPE,252,62.07905138,1727849.248,1.792945072,6.237505848
CAPE,253,61.83464567,41062540.75,1.791231876,7.613445818
CAPE,254,61.59215686,47916203.96,1.789525413,7.680482405
CAPE,255,61.3515625,81512316.38,1.787825628,7.911223235
CAPE,256,61.11284047,212659533.3,1.78613247,8.327684856
CAPE,257,60.87596899,354983261.2,1.784445887,8.550207875
CAPE,258,60.64092664,128920543.6,1.782765829,8.110322128
CAPE,259,60.40769231,7614882.591,1.781092245,6.881663212
CAPE,260,60.17624521,71169597.81,1.779425086,7.852294512
CAPE,261,59.94656489,167106107.7,1.777764302,8.222992324
CAPE,262,59.71863118,64688286.44,1.776109845,7.810825647
CAPE,263,59.49242424,419982362.2,1.774461666,8.623231052
CAPE,264,59.26792453,246811258.4,1.772819719,8.392364966
CAPE,265,59.04511278,388600116.4,1.771183956,8.589502926
CAPE,266,58.82397004,327082188.3,1.769554332,8.514656895
CAPE,267,58.60447761,754465194.7,1.767930799,8.87763921
CAPE,268,58.3866171,1010179982,1.766313313,9.004398758
CAPE,269,58.17037037,622729297.4,1.764701829,8.794299298
CAPE,270,57.95571956,327342881.9,1.763096302,8.515002902
CAPE,271,57.74264706,273349064.8,1.761496689,8.436717592
CAPE,272,57.53113553,128612090.2,1.759902946,8.109281796
CAPE,273,57.32116788,117323283.6,1.75831503,8.069384209
CAPE,274,57.11272727,151481449.6,1.756732899,8.180359453
CAPE,275,56.9057971,38144481.49,1.755156511,7.581431716
CAPE,276,56.70036101,75287197.69,1.753585824,7.876721132
CAPE,277,56.49640288,259934694.7,1.752020797,8.414864251
CAPE,278,56.29390681,88923050.54,1.75046139,7.949014353
